;killbyhum(@±»ÈËÉ±ËÀ) killbymon(@±»¹ÖÉ±ËÀ) @ShaguaiTrigger LevelUp(@UpgradeTrigger)

[0	Cen] CANRIDE WEATHER(1)
[MC009	UndergroundPalace] NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MC003)
[MC010	UndergroundCity] NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MC003)
[MC011	DemonHeart] NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MC003)
[MG001	JaggedEnchanted] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MC004)
[MG002	SighGallery] NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MC004)

[AS001	AshuraTemple] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(0)
[AS002	AshuraTemple2] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(0)
[AS003	AshuraTemple3] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(0)
[AS004	AshuraTemple4] CHECKQUEST(Q012) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(0)

[MH001	º£µº] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) DelayGoto(1/@PurgatoryTime)
[MH002	Á¶Óü¶þ²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî)	NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH003	Á¶Óü¶þ²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH004	Á¶Óü¶þ²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH005	Á¶ÓüÈý²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH006	Á¶ÓüÈý²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH007	Á¶ÓüÈý²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH008	º£±õÆ½Ô­] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH009	Á¶ÓüÎå²ã] EXPRATE(200) MINE NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH010	Á¶ÓüÎå²ã] EXPRATE(200) MINE NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH011	Á¶ÓüÎå²ã] EXPRATE(200) MINE NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH012	ÃÜÁÖ] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH013	Á¶ÓüÆß²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH014	Á¶ÓüÆß²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH015	Á¶ÓüÆß²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH016	Á¶Óü°Ë²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH017	Á¶Óü°Ë²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH018	Á¶Óü°Ë²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH019	ÓÄ¾²¿Õ¼ä] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH020	Á¶ÓüÊ®²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH021	Á¶ÓüÊ®²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH022	Á¶ÓüÊ®²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH023	Á¶ÓüÊ®Ò»²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH024	Á¶ÓüÊ®Ò»²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH025	Á¶ÓüÊ®Ò»²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH026	Í¶Ê¯¹È] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH027	Á¶ÓüÊ®Èý²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH028	Á¶ÓüÊ®Èý²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH029	Á¶ÓüÊ®Èý²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH030	Á¶ÓüÊ®ËÄ²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH031	Á¶ÓüÊ®ËÄ²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH032	Á¶ÓüÊ®ËÄ²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH033	Á¶ÓüÊ®Îå²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH034	Á¶ÓüÊ®Îå²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH035	Á¶ÓüÊ®Îå²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH036	ºì³Ø] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH037	Á¶ÓüÊ®Æß²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH038	Á¶ÓüÊ®Æß²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH039	Á¶ÓüÊ®Æß²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH040	Á¶ÓüÊ®°Ë²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH041	Á¶ÓüÊ®°Ë²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH042	Á¶ÓüÊ®°Ë²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH055	Á¶ÓüÕÓÔó] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH055|MH056	Á¶ÓüÕÓÔó] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH055|MH057	Á¶ÓüÕÓÔó] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)
[MH054	ÌÒÔ°] CHECKQUEST(Q012) EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(MH002) DelayGoto(1/@PurgatoryTime)

[H086|NL001	Á¶ÓüÄ§¾³Ò»²ã] CHECKQUEST(Q012) EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL001) DelayGoto(1/@PurgatoryTime)
[H072|NL002	Á¶ÓüÄ§¾³¶þ²ã] CHECKQUEST(Q012) EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL002) DelayGoto(1/@PurgatoryTime)
[M018|NL003	Á¶ÓüÄ§¾³Èý²ã] CHECKQUEST(Q012) EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL003) DelayGoto(1/@PurgatoryTime)
[N006|NL004	Á¶ÓüÄ§¾³ËÄ²ã] CHECKQUEST(Q012) EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL004) DelayGoto(1/@PurgatoryTime)
[MH055|NL005	Ä§¾³ÕÓÔó] CHECKQUEST(Q012) EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL005) DelayGoto(1/@PurgatoryTime)
[NL006	Á¶ÓüÄ§¾³Áù²ã] CHECKQUEST(Q012) EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL006) DelayGoto(1/@PurgatoryTime)
[NL007	Á¶ÓüÄ§¾³Æß²ã] CHECKQUEST(Q012) EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL006) DelayGoto(1/@PurgatoryTime)
[MH049|NL008	Á¶ÓüÄ§¾³°Ë²ã] CHECKQUEST(Q012) EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL006) DelayGoto(1/@PurgatoryTime)
[NL009	Á¶ÓüÄ§¾³¾Å²ã] CHECKQUEST(Q012) EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL006) DelayGoto(1/@PurgatoryTime)
[MC006|NL010	Á¶ÓüÄ§¾³Ê®²ã] CHECKQUEST(Q012) EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL006) DelayGoto(1/@PurgatoryTime)

[tg41|WC001 Á¶ÓüÁÔ³¡] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(WC001) DelayGoto(1/@PurgatoryTime)
[tg41|WC002 Á¶ÓüÁÔ³¡] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(WC002) DelayGoto(1/@PurgatoryTime)
[tg41|WC003 Á¶ÓüÁÔ³¡] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(WC003) DelayGoto(1/@PurgatoryTime)
[mh012|WC004 Á¶ÓüÁÖ³¡Ò»] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(WC004) DelayGoto(1/@PurgatoryTime)
[mh008|WC005 Á¶ÓüÁÖ³¡¶þ] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(WC005) DelayGoto(1/@PurgatoryTime)
[WC006 Á¶ÓüÑæ»ðÍÀÄ§] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(WC006) DelayGoto(1/@PurgatoryTime)

[MC004|NL011	Á¶ÓüÄ§³ÇÒ»²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL011) DelayGoto(1/@PurgatoryTime)
[MC004|NL012	Á¶ÓüÄ§³ÇÒ»²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL012) DelayGoto(1/@PurgatoryTime)
[MC004|NL013	Á¶ÓüÄ§³ÇÒ»²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL013) DelayGoto(1/@PurgatoryTime)
[MC007|NL014	Á¶ÓüÄ§³Ç¶þ²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL014) DelayGoto(1/@PurgatoryTime)
[MC007|NL015	Á¶ÓüÄ§³Ç¶þ²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL015) DelayGoto(1/@PurgatoryTime)
[MC007|NL016	Á¶ÓüÄ§³Ç¶þ²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL016) DelayGoto(1/@PurgatoryTime)
[MC003|NL017	Á¶ÓüÄ§³ÇÈý²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL017) DelayGoto(1/@PurgatoryTime)
[MC003|NL018	Á¶ÓüÄ§³ÇÈý²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL018) DelayGoto(1/@PurgatoryTime)
[MC003|NL019	Á¶ÓüÄ§³ÇÈý²ã] EXPRATE(200) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(NL019) DelayGoto(1/@PurgatoryTime)

[BT001	Ðþ±ù¹ÅµÀ¶«] 
[BT002	»·±ùµÀ¶«Çø] 
[BT003	Ðþ±ù¹ÅµÀÄÏ] 
[BT004	»·±ùµÀÄÏÇø] 
[BT005	Ðþ±ù¹ÅµÀÎ÷] 
[BT006	»·±ùµÀÎ÷Çø] 
[NB001	CounterSpiritHall] NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(S013)
[NB002	Õæ½«¾üµî] NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(H082)
[NB003	Ðþ±ùµî] NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) NORECONNECT(N002)

[LXXD ÁéÏ¬ÏÉµº] NORECONNECT(MH001) NORECALL FORBIDITEMS(´©ÔÆ¼ý|½­ºþ¸æ¼±Áî) CANUSESUPERITEM[ÁéÊÞÏîÈ¦/ÁéÊÞÏîÈ¦(À¦)] DelayGoto(1/@PurgatoryTime)

